Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Ilse Lasch, William J. Winslade, Harold S. Kushner","=""080701429X""","=""9780807014295""",0,Beacon Press,Paperback,165,2006,1946,,2021/06/19,to-read,to-read (#70),to-read,,,,0,0
42306076,The Murmur of Bees,Sofía Segovia,"Segovia, Sofía",Simon Bruni,"=""1542090490""","=""9781542090490""",0,Amazon Crossing,ebook,471,2019,2015,,2021/06/18,to-read,to-read (#69),to-read,,,,0,0
40180098,The Overstory,Richard Powers,"Powers, Richard",,"=""039335668X""","=""9780393356687""",0,W.W. Norton & Company,Paperback,502,2019,2018,,2021/06/18,to-read,to-read (#68),to-read,,,,0,0
28256439,"The Hidden Life of Trees: What They Feel, How They Communicate: Discoveries from a Secret World",Peter Wohlleben,"Wohlleben, Peter","Tim Flannery, Jane Billinghurst, Suzanne Simard","=""1771642483""","=""9781771642484""",0,Greystone Books,Hardcover,272,2016,2015,,2021/06/18,to-read,to-read (#67),to-read,,,,0,0
78428,Your Money or Your Life,Joe Domínguez,"Domínguez, Joe",Vicki Robin,"=""0140286780""","=""9780140286786""",0,Penguin Books,Paperback,400,1999,1992,,2021/06/15,to-read,to-read (#66),to-read,,,,0,0
45894180,"Arguing with Zombies: Economics, Politics, and the Fight for a Better Future",Paul Krugman,"Krugman, Paul",,"=""1324005017""","=""9781324005018""",0,W. W. Norton & Company,Hardcover,464,2020,2020,,2021/05/07,to-read,to-read (#65),to-read,,,,0,0
49634542,The Enigma Game,Elizabeth Wein,"Wein, Elizabeth",,"=""1368012582""","=""9781368012584""",0,"LIttle, Brown Books for Young Readers",Hardcover,448,2020,2020,,2020/04/28,,,read,,,,1,0
54304067,Machinehood,S.B. Divya,"Divya, S.B.",,"=""1982148063""","=""9781982148065""",0,S&S/Saga Press,Hardcover,404,2021,2021,,2021/05/04,to-read,to-read (#64),to-read,,,,0,0
888823,The Birds of Heaven: Travels with Cranes,Peter Matthiessen,"Matthiessen, Peter",Robert Bateman,"=""0865476578""","=""9780865476578""",0,North Point Press,Paperback,368,2003,2001,,2021/04/12,to-read,to-read (#63),to-read,,,,0,0
1188127,The Goshawk,T.H. White,"White, T.H.",Marie Winn,"=""1590172493""","=""9781590172490""",0,NYRB,Paperback,215,2007,1951,,2021/04/12,to-read,to-read (#62),to-read,,,,0,0
28940,Behind the Scenes at the Museum,Kate Atkinson,"Atkinson, Kate",,"=""0312150601""","=""9780312150600""",0,Picador USA,Paperback,332,1997,1995,,2021/04/10,to-read,to-read (#61),to-read,,,,0,0
34626370,Five-Carat Soul,James   McBride,"McBride, James",,"=""073521669X""","=""9780735216693""",0,Riverhead Books,Hardcover,320,2017,2017,,2021/04/10,to-read,to-read (#60),to-read,,,,0,0
49127718,Anxious People,Fredrik Backman,"Backman, Fredrik",Neil   Smith,"=""198216963X""","=""9781982169633""",0,Atria Publishing,Hardcover,336,2019,2019,,2021/04/04,to-read,to-read (#59),to-read,,,,0,0
43398196,Tokyo Ueno Station,Yū Miri,"Miri, Yū",Morgan Giles,"=""1911284169""","=""9781911284161""",0,Tilted Axis Press ,Paperback,168,2019,2014,,2021/04/04,to-read,to-read (#58),to-read,,,,0,0
13153485,Bunch of Amateurs: A Search for the American Character,Jack Hitt,"Hitt, Jack",,"=""0307393755""","=""9780307393753""",0,Crown,Hardcover,288,2012,2012,,2021/04/03,to-read,to-read (#57),to-read,,,,0,0
315427,We Made a Garden (Modern Library Gardening),Margery Fish,"Fish, Margery","Michael Pollan, Graham Stuart Thomas","=""0375759476""","=""9780375759475""",0,Modern Library,Paperback,160,2002,1956,,2021/03/02,to-read,to-read (#56),to-read,,,,0,0
48637750,Vesper Flights,Helen Macdonald,"Macdonald, Helen",,"=""0802128815""","=""9780802128812""",0,Grove Press,Hardcover,304,2020,2020,,2020/07/29,,,read,,,,1,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",0,Alfred A. Knopf,Hardcover,303,2021,2021,,2021/03/02,to-read,to-read (#55),to-read,,,,0,0
50482979,Missionaries,Phil Klay,"Klay, Phil",,"=""1984880659""","=""9781984880659""",0,Penguin Press,Hardcover,416,2020,2020,,2020/12/17,to-read,to-read (#54),to-read,,,,0,0
45892255,Sharks in the Time of Saviors,Kawai Strong Washburn,"Washburn, Kawai Strong",,"=""0374272085""","=""9780374272081""",0,MCD,Hardcover,376,2020,2020,,2020/12/17,to-read,to-read (#53),to-read,,,,0,0
45895362,How Much of These Hills Is Gold,C Pam Zhang,"Zhang, C Pam",,"=""0525537201""","=""9780525537205""",0,Riverhead Books,Hardcover,288,2020,2020,,2020/12/17,to-read,to-read (#52),to-read,,,,0,0
48570454,Transcendent Kingdom,Yaa Gyasi,"Gyasi, Yaa",,"=""""","=""""",0,Knopf,Hardcover,264,2020,2020,,2020/11/28,to-read,to-read (#51),to-read,,,,0,0
18773666,A Spy Among Friends: Kim Philby and the Great Betrayal,Ben Macintyre,"Macintyre, Ben",John le Carré,"=""0804136637""","=""9780804136631""",0,Crown Publishers,Hardcover,368,2014,2014,,2020/10/10,to-read,to-read (#50),to-read,,,,0,0
26720949,The Death of Expertise: The Campaign Against Established Knowledge and Why It Matters,Thomas M. Nichols,"Nichols, Thomas M.",,"=""0190469412""","=""9780190469412""",0,"Oxford University Press, Inc.",Hardcover,272,2017,2017,,2020/09/23,to-read,to-read (#49),to-read,,,,0,0
324750,High Output Management,Andrew S. Grove,"Grove, Andrew S.",,"=""0679762884""","=""9780679762881""",0,Vintage,Paperback,272,1995,1983,,2020/09/21,to-read,to-read (#48),to-read,,,,0,0
256008,"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,"McMurtry, Larry",,"=""067168390X""","=""9780671683900""",0,Pocket Books,Mass Market Paperback,960,1999,1985,,2020/08/18,to-read,to-read (#47),to-read,,,,0,0
